[2019-08-16 13:58:02,476]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #2 {promotion id=2, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'). Started 2019-08-16 13:58:02.461, running}
[2019-08-16 13:58:09,041]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #2 {promotion id=2, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'). Started 2019-08-16 13:58:02.461, finished. Status "FAILURE 'Unable to collect changes'"}
[2019-08-16 14:02:54,934]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_type_edit_settings: "GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1}" build configuration settings were edited ("version before: 4, version after: 5") by "'anton' (Anton Nichaienko) {id=1}" with comment "build features of 'TC-Build' build configuration were updated"
[2019-08-16 14:06:12,975]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_comment: Build BUILD_PROMOTION{id=3} was commented by "'anton' (Anton Nichaienko) {id=1}" with comment "first build"
[2019-08-16 14:06:12,978]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=3} was added to queue by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 14:06:12,980]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=3, configuration={id=GitDevOps03_TcBuild, internal id=bt1}, branch=<default>, queued build id=3:0:1, queued, comment="first build"}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), agent id=1}
[2019-08-16 14:06:13,004]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #3 {promotion id=3, branch=<default>, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), comment="first build". Started 2019-08-16 14:06:12.994, running}
[2019-08-16 14:06:13,853]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #3 {promotion id=3, branch=<default>, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'), comment="first build". Started 2019-08-16 14:06:12.994, finished. Status "FAILURE 'Unable to collect changes'"}
[2019-08-16 14:25:09,229]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=4} was added to queue by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 14:25:09,232]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=4, configuration={id=GitDevOps03_TcBuild, internal id=bt1}, branch=<default>, queued}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user')}
[2019-08-16 14:25:09,248]   INFO - tbrains.buildServer.ACTIVITIES - Build started; GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #4 {promotion id=4, branch=<default>, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'). Started 2019-08-16 14:25:09.241, running}
[2019-08-16 14:25:10,156]   INFO - tbrains.buildServer.ACTIVITIES - Finished build GitDevOps03 / TC-Build {id=GitDevOps03_TcBuild, internal id=bt1} #4 {promotion id=4, branch=<default>, agent="agent_first" {id=1}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user'). Started 2019-08-16 14:25:09.241, finished. Status "FAILURE 'Unable to collect changes'"}
[2019-08-16 14:25:12,985]   INFO - s.buildServer.ACTIVITIES.AUDIT - build_add_to_queue: Build BUILD_PROMOTION{id=5} was added to queue by "'anton' (Anton Nichaienko) {id=1}"
[2019-08-16 14:25:12,988]   INFO - tbrains.buildServer.ACTIVITIES - Build added to queue; Queued build {Build promotion {promotion id=5, configuration={id=GitDevOps03_TcBuild, internal id=bt1}, branch=<default>, queued}, triggered by "'anton' (Anton Nichaienko) {id=1}" (##userId='1' type='user')}
